survey_yr,birth_cohort,counts,age_wmean,polviews_wmean,happy_wmean,conrinc_wmean,dwelown_wmean,been_married_wmean,conrinc_median,is2018,been_married_wmean_binned,dwelown_wmean_binned,age_wmean_binned,relative_youth
1974,1900.0,69,72.08028527077383,3.9270141022006197,1.6058401249351906,640.9652402605844,0.0,0.9489043891787579,1689.0,0,0.9,-0.0,70.0,11.0
1974,1905.0,97,67.04640142297106,4.257736520269373,1.6185576931585886,9229.5831769953,0.0,0.9793821845437731,21952.0,0,0.9,-0.0,65.0,10.0
1974,1910.0,80,61.58140414048141,4.075579444068067,1.5407005106668612,18447.05746343423,0.0,0.9476731781994033,25329.0,0,0.9,-0.0,60.0,9.0
1974,1915.0,107,57.18565147157892,4.3628702489695685,1.734174097603025,21651.30929869105,0.0,0.9873414512238409,30395.0,0,0.9,-0.0,55.0,8.0
1974,1920.0,123,51.93728348573296,4.205573123032071,1.6620197804219137,24962.767082428898,0.0,0.9790934982723722,42215.0,0,0.9,-0.0,50.0,7.0
1974,1925.0,105,46.916991816405194,4.150197973779925,1.7193691981977088,28661.695885470388,0.0,0.9802365506758592,30395.0,0,0.9,-0.0,45.0,6.0
1974,1930.0,122,42.174710972975205,4.252791348494952,1.7472118425293333,24494.38583791511,0.0,0.9851298268231119,30395.0,0,0.9,-0.0,40.0,5.0
1974,1935.0,129,37.20765957377667,3.9221620857516104,1.6630671441477156,21321.566910173333,0.0,0.9734991518428732,42215.0,0,0.9,-0.0,35.0,4.0
1974,1940.0,139,31.72628006769907,4.072991094329929,1.7664209795062293,19716.506068559014,0.0,0.9452572666461471,25329.0,0,0.9,-0.0,30.0,3.0
1974,1945.0,172,26.97230187772998,3.4986197008281787,1.7783888663000131,17162.995374036105,0.0,0.7534679868080967,25329.0,0,0.7000000000000001,-0.0,25.0,2.0
1974,1950.0,169,22.143179345020986,3.55331865924575,1.9173227711444498,11151.743208485308,0.0,0.49893815377468864,13509.0,0,0.4,-0.0,20.0,1.0
1975,1905.0,94,68.0451922260884,4.101694935803396,1.6892678313793477,5095.886944872151,0.0,0.9661012839320569,15365.5,0,0.9,-0.0,65.0,11.0
1975,1910.0,85,63.11863895102478,4.045199774492153,1.6666690914822289,15593.316095319497,0.0,0.9774007189578142,27658.0,0,0.9,-0.0,60.0,10.0
1975,1915.0,93,57.93171278606975,4.297557559401803,1.6878037086741597,19649.91711906741,0.0,0.9707309107125284,27658.0,0,0.9,-0.0,55.0,9.0
1975,1920.0,107,52.9880534257163,4.215138369253709,1.8247009295294894,22417.215078520956,0.0,0.976095736749588,27658.0,0,0.9,-0.0,50.0,8.0
1975,1925.0,117,47.93624633270585,4.271812568683,1.7248330363971294,24083.682203847547,0.0,0.9899324944225443,33036.0,0,0.9,-0.0,45.0,7.0
1975,1930.0,121,42.942081701406984,4.212352733060625,1.7644748104037842,24687.198731136697,0.0,0.9922777811380662,38414.0,0,0.9,-0.0,40.0,6.0
1975,1935.0,116,38.11462494847145,4.090912483735638,1.8102756841210628,22640.086496719985,0.0,0.9802376335713402,27658.0,0,0.9,-0.0,35.0,5.0
1975,1940.0,134,33.04119565121294,4.033706555731392,1.8239692849030993,17830.121798668875,0.0,0.9101147797516334,23049.0,0,0.9,-0.0,30.0,4.0
1975,1945.0,169,27.878965911543542,3.6224815228704523,1.8703153186860348,15702.187826955982,0.0,0.8270945127362479,23049.0,0,0.8,-0.0,25.0,3.0
1975,1950.0,171,23.19416250028537,3.4281932744332586,1.920210944455859,13015.81022989293,0.0,0.53192304180079,16902.0,0,0.5,-0.0,20.0,2.0
1975,1955.0,79,19.22172353454119,3.6515827129947738,1.7511317577737338,4776.616723990935,0.0,0.2081511806986505,6146.0,0,0.2,-0.0,15.0,1.0
1976,1900.0,63,73.85184648280361,4.09258259627251,1.870367579878192,3573.381935158993,0.0,0.9722240766632271,18445.0,0,0.9,-0.0,70.0,12.0
1976,1905.0,76,68.71533353782858,4.481759321075644,1.737222051809482,4662.1627376505885,0.0,0.948906250939776,14188.5,0,0.9,-0.0,65.0,11.0
1976,1910.0,96,63.70588287134088,4.112310263271244,1.7486601797149282,7822.543314338087,0.0,0.9946528364532465,25539.0,0,0.9,-0.0,60.0,10.0
1976,1915.0,105,59.0917397035686,4.188072817988103,1.7385252136772325,19351.709394238624,0.0,0.9633046855436543,25539.0,0,0.9,-0.0,55.0,9.0
1976,1920.0,115,53.846775868227155,4.346780852071203,1.7943549659852642,20536.720245205124,0.0,0.9637109702713703,35471.0,0,0.9,-0.0,50.0,8.0
1976,1925.0,83,49.03553125388862,4.21827476987137,1.8680181070423594,22959.17479005305,0.0,0.9340111448866636,35471.0,0,0.9,-0.0,45.0,7.0
1976,1930.0,90,44.148513084509574,4.445546392110032,1.6683149990770834,24307.284292979606,0.0,0.9851486915490416,35471.0,0,0.9,-0.0,40.0,6.0
1976,1935.0,117,39.07754346343707,4.126530584789961,1.6285699631642274,26632.719642017833,0.0,0.942859569187099,35471.0,0,0.9,-0.0,35.0,5.0
1976,1940.0,154,33.8046315243786,4.003316417014543,1.692048648058716,22720.38673296772,0.0,0.9370876647294754,35471.0,0,0.9,-0.0,30.0,4.0
1976,1945.0,168,28.808861707375364,3.78071968714561,1.7776309365798586,17119.851997421694,0.0,0.8858268367227587,21283.0,0,0.8,-0.0,25.0,3.0
1976,1950.0,157,23.95907377295995,3.5145317675398973,1.7982776272207168,14211.520363745856,0.0,0.6080885275519422,18445.0,0,0.6000000000000001,-0.0,20.0,2.0
1976,1955.0,96,19.822641617971378,3.645283235942758,1.8641496702816618,5606.146201689829,0.0,0.2264177344389502,5675.0,0,0.2,-0.0,15.0,1.0
1977,1900.0,60,74.64284799643112,4.102039298947099,1.7040909898262238,3977.7767510832614,0.0,0.9693877972514695,10735.0,0,0.9,-0.0,70.0,12.0
1977,1905.0,69,69.78813748293297,4.635590981756305,1.6949207198677176,2081.137788252406,0.0,0.9491505945152282,9393.0,0,0.9,-0.0,65.0,11.0
1977,1910.0,93,64.77752753670869,4.040927235867132,1.7952147017088325,10791.214763249987,0.0,0.9706235657656015,17445.0,0,0.9,-0.0,60.0,10.0
1977,1915.0,115,59.670993971680915,4.212118849011636,1.6190522921631851,23975.05461762232,0.0,0.9653669563998318,24155.0,0,0.9,-0.0,55.0,9.0
1977,1920.0,132,54.9237190449579,4.231816341937228,1.6850691687010402,22767.77791083491,0.0,0.9446398283422901,30193.0,0,0.9,-0.0,50.0,8.0
1977,1925.0,121,49.802976002817104,4.219331979464739,1.7211923574393677,31140.51399628753,0.0,0.9702595349544142,30193.0,0,0.9,-0.0,45.0,7.0
1977,1930.0,96,45.04233661373915,4.269066463777276,1.7406000574683569,27991.138209488392,0.0,0.9811328139543098,30193.0,0,0.9,-0.0,45.0,6.0
1977,1935.0,133,40.369400919431534,4.12686403152682,1.6865708163938857,24261.546761937916,0.0,0.9365657185107535,30193.0,0,0.9,-0.0,40.0,5.0
1977,1940.0,162,34.87333487162049,4.109994278651273,1.7166677461664264,23142.293347312854,0.0,0.943330310734006,30193.0,0,0.9,-0.0,30.0,4.0
1977,1945.0,140,29.769525314003698,3.5507837639963507,1.7382862347544341,19719.276044952774,0.0,0.8554642099820207,24155.0,0,0.8,-0.0,25.0,3.0
