"","year","age","sex","polviews","happy","conrinc","wtssall","natrace","life","trust","dwelown","marital"
"1",1972,23,2,NA,3,NA,0.4446,NA,NA,3,NA,5
"2",1972,70,1,NA,3,NA,0.8893,NA,NA,1,NA,1
"3",1972,48,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"4",1972,27,2,NA,3,NA,0.8893,NA,NA,2,NA,1
"5",1972,61,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"6",1972,26,1,NA,2,NA,0.4446,NA,NA,1,NA,5
"7",1972,28,1,NA,3,NA,0.4446,NA,NA,2,NA,3
"8",1972,27,1,NA,3,NA,0.4446,NA,NA,1,NA,5
"9",1972,21,2,NA,2,NA,0.4446,NA,NA,2,NA,5
"10",1972,30,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"11",1972,30,2,NA,2,NA,0.8893,NA,NA,NA,NA,1
"12",1972,56,1,NA,2,NA,1.3339,NA,NA,2,NA,1
"13",1972,54,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"14",1972,49,2,NA,3,NA,1.3339,NA,NA,2,NA,3
"15",1972,41,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"16",1972,54,1,NA,3,NA,0.8893,NA,NA,2,NA,1
"17",1972,24,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"18",1972,62,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"19",1972,46,2,NA,1,NA,1.3339,NA,NA,1,NA,1
"20",1972,21,2,NA,1,NA,1.7786,NA,NA,2,NA,5
"21",1972,57,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"22",1972,58,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"23",1972,21,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"24",1972,26,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"25",1972,71,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"26",1972,53,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"27",1972,42,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"28",1972,42,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"29",1972,20,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"30",1972,23,1,NA,2,NA,0.8893,NA,NA,1,NA,1
"31",1972,26,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"32",1972,25,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"33",1972,26,1,NA,2,NA,1.3339,NA,NA,2,NA,5
"34",1972,78,2,NA,1,NA,0.8893,NA,NA,NA,NA,1
"35",1972,21,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"36",1972,27,1,NA,3,NA,0.8893,NA,NA,1,NA,1
"37",1972,58,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"38",1972,35,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"39",1972,58,1,NA,3,NA,0.4446,NA,NA,2,NA,5
"40",1972,51,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"41",1972,76,2,NA,1,NA,0.4446,NA,NA,1,NA,2
"42",1972,53,1,NA,3,NA,0.8893,NA,NA,2,NA,1
"43",1972,39,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"44",1972,64,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"45",1972,50,2,NA,2,NA,1.3339,NA,NA,2,NA,1
"46",1972,27,2,NA,1,NA,0.8893,NA,NA,2,NA,1
"47",1972,25,1,NA,2,NA,1.3339,NA,NA,1,NA,5
"48",1972,49,1,NA,2,NA,1.3339,NA,NA,1,NA,1
"49",1972,40,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"50",1972,43,1,NA,2,NA,1.3339,NA,NA,2,NA,1
"51",1972,46,1,NA,2,NA,1.3339,NA,NA,1,NA,1
"52",1972,37,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"53",1972,46,1,NA,1,NA,0.8893,NA,NA,1,NA,1
"54",1972,22,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"55",1972,53,2,NA,1,NA,2.2232,NA,NA,2,NA,1
"56",1972,35,1,NA,2,NA,0.8893,NA,NA,2,NA,1
"57",1972,31,2,NA,2,NA,0.8893,NA,NA,1,NA,1
"58",1972,30,2,NA,2,NA,0.8893,NA,NA,2,NA,1
"59",1972,37,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"60",1972,57,2,NA,1,NA,0.8893,NA,NA,1,NA,1
"61",1972,39,1,NA,1,NA,0.8893,NA,NA,2,NA,1
"62",1972,62,2,NA,2,NA,1.3339,NA,NA,2,NA,1
"63",1972,51,1,NA,2,NA,1.3339,NA,NA,1,NA,1
"64",1972,43,1,NA,2,NA,0.8893,NA,NA,1,NA,1
